,PC1,PC2,PC3
150,-36.14092049735713,-29.46455348400526,-4.886411734575026
151,-37.49080389209684,-31.555260599502635,-6.209604265749059
152,-39.16241893943213,-30.60993695237452,-7.584832115594388
153,-35.621587520928614,-32.033855151005916,-5.261288243657684
154,-36.07728257496639,-34.58886810888238,-4.220569957992944
155,-36.61319599104624,-34.903030412416335,-2.7861983961976957
156,-37.313025986034845,-36.26230772877377,-4.009121872675263
157,-38.99083598139712,-34.07703598928046,-6.630201692409001
158,-41.72536803187785,-32.415322017400456,-2.8972807695206817
159,-42.817296702571554,-33.48904822185309,-0.8084674055910522
160,-43.87065408842127,-32.52533589338251,-1.7175737690224078
161,-43.22178098235306,-32.27671198027833,-1.66291773572455
162,-42.86878288002282,-33.4030453298308,1.2804674156667903
163,-43.166782491515484,-34.460801557498755,-2.6227338568494183
164,-43.117845194610474,-34.31224734923511,0.42263667741272637
165,-40.172870962092865,-38.06372455502067,5.409219720025172
166,-42.338496203427084,-37.82513022657373,0.3453767108077709
167,-42.97452069937767,-35.515497554100726,1.3962808725527251
168,-43.90097353002059,-34.1340503786996,1.4646040983994355
169,-42.36157776597412,-37.1597543872815,3.513873565139522
170,-41.17644266466556,-35.71181678077089,6.627103329095251
171,-43.71627602496286,-35.4130338832748,2.2405390806282197
172,-41.041663963071585,-38.559124596235016,2.581434215791471
173,-41.44414445075333,-38.79514095241972,3.4246894187728967
174,-40.97459197589228,-38.76588656783351,5.7684645441923506
175,-40.28876949512973,-38.897431799137586,3.9907861314911908
176,-40.84139693142114,-39.54147930613908,5.325794138535478
177,-38.42090965881422,-39.025314644752854,4.433706383309608
178,-39.556139875959055,-38.83744430080641,8.239148410990232
179,-40.57892595494285,-40.021267106448555,6.283189703023659
180,-40.843637434443544,-38.35750778316423,6.176657301044605
181,-39.71747212045588,-40.39980317787621,7.161772264889629
182,-38.62320474327774,-41.28235274133203,8.43887951429148
183,-37.0723984927258,-41.84726614397155,5.6124501079212585
184,-38.600555713458185,-38.3884798417172,3.8791117616822226
