POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
403,680.12,1431.88,1968.52,181.58,111.39,-104.38,-1305.62,-11376.29,699.54,7621.25,-2151.71,54.9,0.0,-91.99,-2096.81,-2188.8
406,651.86,1448.66,1946.12,189.92,86.21,-84.43,-1242.69,-11467.23,671.46,7601.28,-2036.92,53.38,0.0,-198.83,-1983.54,-2182.37
409,687.11,1473.9,1984.79,182.21,107.7,-107.23,-1297.33,-11430.1,654.39,7622.88,-2069.94,54.5,0.0,-121.69,-2015.44,-2137.13
412,656.0,1416.12,1954.24,182.86,103.91,-101.29,-1285.72,-11520.52,682.87,7608.6,-2018.07,54.1,0.0,-302.93,-1963.97,-2266.9
415,636.48,1445.92,1951.65,182.04,102.67,-85.52,-1279.22,-11504.05,684.18,7515.39,-1903.06,53.2,0.0,-350.46,-1849.86,-2200.31
418,658.33,1391.32,1981.7,174.71,93.92,-84.08,-1312.25,-11374.94,677.15,7575.31,-2094.45,53.53,0.0,-218.82,-2040.93,-2259.74
421,648.19,1422.6,1972.87,174.38,95.12,-93.35,-1283.22,-11403.31,691.64,7569.2,-2086.98,53.84,0.0,-205.88,-2033.14,-2239.02
424,689.89,1425.67,1984.18,177.07,97.7,-110.44,-1291.24,-11387.6,666.63,7544.14,-2043.55,54.6,0.0,-204.01,-1988.96,-2192.97
427,626.72,1519.62,1949.56,177.71,93.45,-97.14,-1313.03,-11280.05,677.9,7538.84,-2158.22,54.35,0.0,-106.41,-2103.87,-2210.28
430,640.58,1503.49,1914.18,175.63,93.39,-85.99,-1254.18,-11326.42,677.07,7478.04,-2100.87,54.72,0.0,-184.22,-2046.15,-2230.36
433,675.34,1524.28,1949.83,182.51,92.14,-86.33,-1319.72,-11265.46,662.84,7530.21,-2117.12,54.94,0.0,-54.36,-2062.18,-2116.55
436,673.9,1440.36,1930.39,183.04,98.92,-101.84,-1256.23,-11462.39,683.68,7614.8,-2056.98,54.51,0.0,-195.38,-2002.47,-2197.85
439,652.26,1470.08,1944.53,181.72,102.14,-105.52,-1274.97,-11408.05,707.7,7580.93,-2096.26,54.05,0.0,-149.19,-2042.21,-2191.4
442,676.69,1440.58,1987.07,177.17,111.69,-97.92,-1301.25,-11386.67,679.35,7638.16,-2115.46,53.61,0.0,-75.15,-2061.85,-2137.0
445,706.79,1453.85,1981.39,178.35,113.67,-114.61,-1272.58,-11459.86,681.36,7647.71,-2034.4,52.98,0.0,-83.92,-1981.42,-2065.34
448,690.61,1535.55,1985.86,191.93,98.28,-109.42,-1292.78,-11287.65,652.17,7518.39,-2139.45,54.2,0.0,-17.05,-2085.24,-2102.3
451,648.11,1479.62,1975.78,178.82,101.98,-122.47,-1266.44,-11317.79,668.46,7524.78,-2110.48,54.39,0.0,-129.14,-2056.09,-2185.23
454,649.87,1519.14,1949.21,176.88,104.56,-107.89,-1291.83,-11285.04,678.49,7484.45,-2079.76,54.2,0.0,-122.15,-2025.57,-2147.72
