GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
124,-0.0,0.0,0.0,-0.0,0.0,0.0,-18.99,-5.57,-0.0,0.0,18.28,-2.64,-24.56,15.64,-8.92
127,-0.0,-0.0,0.0,0.0,0.0,0.0,-22.98,-7.74,-0.0,-0.0,22.01,-3.4,-30.72,18.62,-12.11
130,-0.0,-0.0,-0.0,0.0,0.0,0.0,-26.57,3.62,0.0,-0.0,15.26,-3.69,-22.95,11.57,-11.38
133,-0.0,0.0,-0.0,0.0,0.0,0.0,-30.06,-6.04,-0.0,0.0,22.49,-4.07,-36.1,18.41,-17.68
136,0.0,-0.0,0.0,0.0,-0.0,0.0,-28.75,-12.14,-0.0,0.0,25.89,-4.07,-40.89,21.81,-19.08
139,0.0,0.0,0.0,0.0,-0.0,0.0,-23.1,-11.68,-0.0,-0.0,25.61,-3.56,-34.78,22.05,-12.73
142,-0.0,0.0,-0.0,0.0,-0.0,0.0,-22.79,-0.64,-0.0,0.0,15.29,-3.04,-23.43,12.24,-11.19
145,0.0,-0.0,0.0,0.0,-0.0,0.0,-29.25,-8.06,-0.0,0.0,24.68,-4.07,-37.31,20.61,-16.7
148,-0.0,0.0,0.0,-0.0,-0.0,0.0,-23.42,-2.83,0.0,0.0,20.24,-3.32,-26.26,16.92,-9.34
151,0.0,0.0,0.0,-0.0,-0.0,0.0,-21.01,0.7,-0.0,-0.0,17.16,-2.94,-20.3,14.22,-6.08
154,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-19.84,-1.21,-0.0,0.0,17.94,-3.39,-21.05,14.55,-6.49
157,0.0,-0.0,0.0,0.0,0.0,0.0,-20.93,1.73,0.0,0.0,12.33,-3.0,-19.19,9.33,-9.86
160,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-19.06,8.1,0.0,0.0,7.1,-2.89,-10.96,4.21,-6.75
163,0.0,-0.0,-0.0,0.0,0.0,0.0,-13.34,-5.69,-0.0,-0.0,15.72,-1.73,-19.03,13.99,-5.04
