GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
55,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-15.56,-17.21,0.0,0.0,25.93,-2.11,-32.77,23.82,-8.94
58,0.0,-0.0,0.0,-0.0,0.0,0.0,-14.61,-8.48,0.0,0.0,20.43,-1.98,-23.09,18.45,-4.64
61,0.0,-0.0,-0.0,-0.0,0.0,0.0,-6.93,-10.15,0.0,-0.0,19.17,-1.26,-17.08,17.9,0.82
64,-0.0,-0.0,0.0,0.0,0.0,0.0,-16.25,-14.91,-0.0,-0.0,25.83,-2.12,-31.15,23.71,-7.44
67,0.0,0.0,-0.0,0.0,-0.0,0.0,-8.91,-9.38,-0.0,0.0,14.66,-1.39,-18.29,13.27,-5.02
70,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-1.01,2.17,0.0,-0.0,0.92,-0.0,1.16,0.92,2.08
73,0.0,-0.0,0.0,0.0,0.0,0.0,-4.71,0.15,-0.0,0.0,5.1,-0.85,-4.56,4.25,-0.31
76,0.0,-0.0,-0.0,0.0,-0.0,0.0,-1.63,-2.24,-0.0,-0.0,5.52,-0.15,-3.87,5.37,1.5
79,0.0,0.0,-0.0,0.0,-0.0,0.0,-1.49,0.78,0.0,-0.0,3.25,-0.21,-0.71,3.04,2.33
82,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.04,-1.19,0.0,-0.0,1.35,0.0,-1.23,1.35,0.12
85,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.39,-0.0,0.0,0.39,-0.0,-0.4,0.39,-0.0
88,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.55,0.0,-0.0,-0.55,-0.0,0.54,-0.55,-0.0
91,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.01,0.05,0.0,0.0,-0.05,-0.0,0.04,-0.05,-0.0
94,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.01,0.05,-0.0,-0.0,-0.04,-0.0,0.04,-0.04,-0.0
97,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.01,-0.29,-0.0,-0.0,0.33,-0.0,-0.31,0.33,0.02
100,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.25,0.0,-0.0,0.25,0.0,-0.25,0.25,-0.0
103,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
106,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.01,0.33,0.0,-0.0,-0.33,-0.0,0.33,-0.33,-0.0
109,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.14,0.0,0.0,0.14,-0.0,-0.14,0.14,-0.0
112,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.18,-0.0,0.0,-0.18,0.0,0.18,-0.18,-0.0
115,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.11,0.0,-0.0,-0.11,0.0,0.11,-0.11,-0.0
