POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
598,649.9,1529.92,1961.37,182.67,101.18,-107.98,-1276.51,-11133.78,677.49,7132.67,-2151.63,53.85,0.0,-283.07,-2097.77,-2380.84
601,670.21,1467.15,1994.89,173.84,98.61,-96.88,-1319.61,-11052.63,682.65,7032.7,-2094.13,53.09,0.0,-349.07,-2041.04,-2390.11
604,662.65,1490.91,1976.2,176.53,108.88,-112.0,-1313.25,-11152.02,687.31,7203.92,-2166.42,53.3,0.0,-270.88,-2113.12,-2383.99
607,661.1,1466.86,1958.44,172.78,91.85,-97.12,-1323.09,-11060.1,694.41,7139.31,-2158.25,53.17,0.0,-295.57,-2105.08,-2400.65
610,666.27,1432.9,1969.35,179.28,89.33,-98.44,-1307.65,-11204.42,666.56,7223.68,-2104.4,52.68,0.0,-383.13,-2051.72,-2434.86
613,663.54,1449.61,1973.21,183.59,92.2,-118.53,-1296.0,-11214.03,691.81,7187.82,-2113.08,52.89,0.0,-386.79,-2060.19,-2446.97
616,691.62,1480.17,2001.46,189.31,97.58,-123.26,-1293.07,-11134.66,665.49,7151.17,-2149.59,53.54,0.0,-274.18,-2096.06,-2370.24
619,653.68,1497.46,1972.92,182.05,112.33,-101.13,-1289.37,-11218.25,688.25,7176.09,-2065.08,52.76,0.0,-325.97,-2012.33,-2338.3
622,698.64,1472.24,1981.71,186.47,98.97,-115.31,-1289.36,-11313.39,691.47,7197.15,-1997.54,52.47,0.0,-391.41,-1945.07,-2336.47
625,695.31,1472.18,1999.4,172.22,97.5,-85.39,-1310.69,-11325.09,675.12,7180.96,-1976.53,52.34,0.0,-428.48,-1924.19,-2352.66
628,635.0,1545.34,1984.2,185.65,95.39,-107.39,-1284.42,-11226.21,692.12,7168.3,-2080.21,52.93,0.0,-312.02,-2027.28,-2339.29
